,OBJECTID,equipamien,x,y,identifica,codvia,numportal,telefono,geo_shape,geo_point_2d,grupo,geo_shape_2d,icono
0,23438,ASOCIACIÓN NARCÓTICOS ANÓNIMOS,,,1321,0,S/N,615744367.0,"{""coordinates"": [-0.3806269694154384, 39.46701621961233], ""type"": ""Point""}","39.46701621961233, -0.3806269694154384",adicciones,"[39.46701621961233, -0.3806269694154384]",pills
1,24078,REHABILITACIÓN DE MARGINADOS - REMAR,724499.897,4371920.044,6610,57300,64,963484444.0,"{""coordinates"": [-0.39028528224724357, 39.46760148150666], ""type"": ""Point""}","39.46760148150666, -0.39028528224724357","['adicciones', 'cooperacion_internacional', 'privadas_libertad']","[39.46760148150666, -0.39028528224724357]",pills
2,24090,PISO MARTES-ACOGIDA,725782.072,4374519.417,5362,0,S/N,963667537.0,"{""coordinates"": [-0.37451508298144315, 39.490663462805514], ""type"": ""Point""}","39.490663462805514, -0.37451508298144315","['adicciones', 'cooperacion_internacional', 'privadas_libertad']","[39.490663462805514, -0.37451508298144315]",pills
3,24101,ASOCIACIÓN BENEFICA LA MANO QUE AYUDA,725740.773,4374630.653,10176,53640,7,963849870.0,"{""coordinates"": [-0.3749571737151057, 39.49167555071833], ""type"": ""Point""}","39.49167555071833, -0.3749571737151057","['adicciones', 'migrantes', 'sin_hogar', 'toda_poblacion']","[39.49167555071833, -0.3749571737151057]",pills
4,24159,PISO MARTES-REINSERCIÓN,725657.744,4374640.486,5363,0,S/N,963667537.0,"{""coordinates"": [-0.37591840304973906, 39.49178584591679], ""type"": ""Point""}","39.49178584591679, -0.37591840304973906","['adicciones', 'cooperacion_internacional', 'privadas_libertad']","[39.49178584591679, -0.37591840304973906]",pills
5,24169,OBRA MERCEDARIA DE VALENCIA,724893.574,4373088.277,5896,74280,58,963924902.0,"{""coordinates"": [-0.3853195597870918, 39.47801424963556], ""type"": ""Point""}","39.47801424963556, -0.3853195597870918","['adicciones', 'cooperacion_internacional', 'migrantes', 'mujer', 'privadas_libertad', 'toda_poblacion']","[39.47801424963556, -0.3853195597870918]",pills
6,24219,SERVICIO DE ACCIÓN SOCIAL,724049.96,4370389.698,6773,39810,23,963883054.0,"{""coordinates"": [-0.3960242379352894, 39.45394357800155], ""type"": ""Point""}","39.45394357800155, -0.3960242379352894","['adicciones', 'toda_poblacion']","[39.45394357800155, -0.3960242379352894]",pills
7,24266,UNIDAD DE CONDUCTAS ADICTIVAS SAN MARCELINO - DEPARTAMENTO DE VALENCIA DOCTOR PESET,724580.79,4369242.57,7040,69090,32 AC,963789496.0,"{""coordinates"": [-0.3902465283712699, 39.44347971682095], ""type"": ""Point""}","39.44347971682095, -0.3902465283712699",adicciones,"[39.44347971682095, -0.3902465283712699]",pills
8,24271,PLAN MUNICIPAL DE DROGODEPENDENCIAS,726945.579,4372671.68,5364,5100,11,962082029.0,"{""coordinates"": [-0.36162769791453775, 39.473725727207494], ""type"": ""Point""}","39.473725727207494, -0.36162769791453775",adicciones,"[39.473725727207494, -0.36162769791453775]",pills
9,24272,CENTRO DE TRATAMIENTO DE ADICCIONES NO TÓXICAS (FUNDACIÓN PATIM),723786.07,4371592.25,3849,81108,9ac,961113627.0,"{""coordinates"": [-0.3986851225473547, 39.4648367667333], ""type"": ""Point""}","39.4648367667333, -0.3986851225473547",adicciones,"[39.4648367667333, -0.3986851225473547]",pills
11,24363,UNIDAD DE CONDUCTAS ADICTIVAS NOU CAMPANAR - DEPARTAMENTO DE VALENCIA LA FE,723602.21,4373007.55,7042,0,s/n,963175311.0,"{""coordinates"": [-0.40034588015169487, 39.477624121465546], ""type"": ""Point""}","39.477624121465546, -0.40034588015169487",adicciones,"[39.477624121465546, -0.40034588015169487]",pills
